contrast_name,annotation,Test description,Reference description,Experiment_id,Data source,Platform
GSM28229.ch1-vs-GSM28229.ch2,MEDIUM.7H9:1_ETHANOL:0.2vol%_STRAIN.H37Rv:1_TEMPERATURE:37°C_TRICLOSAN:50ug/ml,test_GSE1642_TRIC50,ref_GSE1642,GSE1642,GEO,GPL1343
GSM28232.ch1-vs-GSM28232.ch2,MEDIUM.7H9:1_DMSO:50uL_STRAIN.H37Rv:1_TEMPERATURE:37°C_ETHAMBUTOL:10ug/ml,test_GSE1642_EMB20,ref_GSE1642,GSE1642,GEO,GPL1343
GSM28230.ch1-vs-GSM28230.ch2,MEDIUM.7H9:1_DMSO:50uL_STRAIN.H37Rv:1_TEMPERATURE:37°C_DIAMINE#109:10ug/ml,test_GSE1642_DIAMINE109-10,ref_GSE1642,GSE1642,GEO,GPL1343
GSM28227.ch1-vs-GSM28227.ch2,MEDIUM.7H9:1_DMSO:50uL_STRAIN.H37Rv:1_TEMPERATURE:37°C_PROCEPT6778:20ug/ml,test_GSE1642_PROC6778-20,ref_GSE1642,GSE1642,GEO,GPL1343
GSM28231.ch1-vs-GSM28231.ch2,MEDIUM.7H9:1_DMSO:50uL_STRAIN.H37Rv:1_TEMPERATURE:37°C_DIAMINE#59:10ug/ml,test_GSE1642_DIAMINE59-10,ref_GSE1642,GSE1642,GEO,GPL1343
GSM28228.ch1-vs-GSM28228.ch2,MEDIUM.7H9:1_STRAIN.H37Rv:1_TEMPERATURE:37°C_CEPHALEXIN:100ug/ml,test_GSE1642_CEPHA100,ref_GSE1642,GSE1642,GEO,GPL1343
GSM28238.ch1-vs-GSM28238.ch2,DMSO:50uL_STRAIN.H37Rv:1_TEMPERATURE:37°C_SUCCINATE:10mM_MEDIUM.MM:+1,test_GSE1642_SUCCINATE,ref_GSE1642_7H9,GSE1642,GEO,GPL1343
GSM28233.ch1-vs-GSM28233.ch2,MEDIUM.7H9:1_DMSO:50uL_STRAIN.H37Rv:1_TEMPERATURE:37°C_DIAMINE#241:10ug/ml,test_GSE1642_DIAMINE241-10,ref_GSE1642,GSE1642,GEO,GPL1343
GSM28234.ch1-vs-GSM28234.ch2,MEDIUM.7H9:1_DMSO:50uL_STRAIN.H37Rv:1_TEMPERATURE:37°C_ECONAZOLE:24ug/ml,test_GSE1642_ECO24,ref_GSE1642,GSE1642,GEO,GPL1343
GSM28235.ch1-vs-GSM28235.ch2,MEDIUM.7H9:1_DMSO:50uL_STRAIN.H37Rv:1_TEMPERATURE:37°C_ECONAZOLE:24ug/ml,test_GSE1642_ECO24,ref_GSE1642,GSE1642,GEO,GPL1343
GSM28237.ch1-vs-GSM28237.ch2,DMSO:50uL_STRAIN.H37Rv:1_TEMPERATURE:37°C_SUCCINATE:10mM_MEDIUM.MM:+1,test_GSE1642_SUCCINATE,ref_GSE1642_7H9,GSE1642,GEO,GPL1343
GSM28236.ch1-vs-GSM28236.ch2,MEDIUM.7H9:1_DMSO:50uL_STRAIN.H37Rv:1_TEMPERATURE:37°C_PROCEPT6778:20ug/ml,test_GSE1642_PROC6778-20,ref_GSE1642,GSE1642,GEO,GPL1343
GSM28242.ch1-vs-GSM28242.ch2,MEDIUM.7H9:1_DMSO:50uL_STRAIN.H37Rv:1_TEMPERATURE:37°C_CLOTRIMAZOLE:24ug/ml,test_GSE1642_CLOTRI24,ref_GSE1642,GSE1642,GEO,GPL1343
GSM28239.ch1-vs-GSM28239.ch2,MEDIUM.7H9:1_DMSO:50uL_STRAIN.H37Rv:1_TEMPERATURE:37°C_CLOFAZIMINE:13ug/ml,test_GSE1642_CLOFA13,ref_GSE1642,GSE1642,GEO,GPL1343
GSM28241.ch1-vs-GSM28241.ch2,MEDIUM.7H9:1_DMSO:50uL_STRAIN.H37Rv:1_TEMPERATURE:37°C_CLOTRIMAZOLE:24ug/ml,test_GSE1642_CLOTRI24,ref_GSE1642,GSE1642,GEO,GPL1343
GSM28240.ch1-vs-GSM28240.ch2,MEDIUM.7H9:1_DMSO:50uL_STRAIN.H37Rv:1_TEMPERATURE:37°C_CLOFAZIMINE:13ug/ml,test_GSE1642_CLOFA13,ref_GSE1642,GSE1642,GEO,GPL1343
GSM28245.ch1-vs-GSM28245.ch2,MEDIUM.7H9:1_DMSO:50uL_STRAIN.H37Rv:1_TEMPERATURE:37°C_PA824:0.4ug/ml,test_GSE1642_PA824-0.4,ref_GSE1642,GSE1642,GEO,GPL1343
GSM28243.ch1-vs-GSM28243.ch2,MEDIUM.7H9:1_DMSO:50uL_STRAIN.H37Rv:1_TEMPERATURE:37°C_CHLORPROMAZINE:20ug/ml,test_GSE1642_CHLOR20,ref_GSE1642,GSE1642,GEO,GPL1343
GSM28247.ch1-vs-GSM28247.ch2,MEDIUM.7H9:1_DMSO:50uL_STRAIN.H37Rv:1_TEMPERATURE:37°C_PA824:2ug/ml,test_GSE1642_PA824-2,ref_GSE1642,GSE1642,GEO,GPL1343
GSM28249.ch1-vs-GSM28249.ch2,MEDIUM.7H9:1_DMSO:50uL_STRAIN.H37Rv:1_TEMPERATURE:37°C_PA824:0.4ug/ml,test_GSE1642_PA824-0.4,ref_GSE1642,GSE1642,GEO,GPL1343
GSM28250.ch1-vs-GSM28250.ch2,MEDIUM.7H9:1_DMSO:50uL_STRAIN.H37Rv:1_TEMPERATURE:37°C_PA824:0.2ug/ml,test_GSE1642_PA824-0.2,ref_GSE1642,GSE1642,GEO,GPL1343
GSM28252.ch1-vs-GSM28252.ch2,MEDIUM.7H9:1_DMSO:50uL_STRAIN.H37Rv:1_TEMPERATURE:37°C_CCCP:10uM,test_GSE1642_CCCP10,ref_GSE1642,GSE1642,GEO,GPL1343
GSM28248.ch1-vs-GSM28248.ch2,MEDIUM.7H9:1_DMSO:50uL_STRAIN.H37Rv:1_TEMPERATURE:37°C_PA824:0.2ug/ml,test_GSE1642_PA824-0.2,ref_GSE1642,GSE1642,GEO,GPL1343
GSM28251.ch1-vs-GSM28251.ch2,MEDIUM.7H9:1_DMSO:50uL_STRAIN.H37Rv:1_TEMPERATURE:37°C_PA824:0.4ug/ml,test_GSE1642_PA824-0.4,ref_GSE1642,GSE1642,GEO,GPL1343
GSM28253.ch1-vs-GSM28253.ch2,MEDIUM.7H9:1_DMSO:50uL_STRAIN.H37Rv:1_TEMPERATURE:37°C_CEPHALEXIN:100ug/ml,test_GSE1642_CEPH100,ref_GSE1642,GSE1642,GEO,GPL1343
GSM28257.ch1-vs-GSM28257.ch2,MEDIUM.7H9:1_DMSO:50uL_STRAIN.H37Rv:1_TEMPERATURE:37°C_CEPHALEXIN:100ug/ml,test_GSE1642_CEPH100,ref_GSE1642,GSE1642,GEO,GPL1343
GSM28255.ch1-vs-GSM28255.ch2,MEDIUM.7H9:1_DMSO:50uL_STRAIN.H37Rv:1_TEMPERATURE:37°C_DINITROPHENOL:1mM,test_GSE1642_DNP1,ref_GSE1642,GSE1642,GEO,GPL1343
GSM28254.ch1-vs-GSM28254.ch2,MEDIUM.7H9:1_DMSO:50uL_STRAIN.H37Rv:1_TEMPERATURE:37°C_DCC:100uM,test_GSE1642_DCCD100,ref_GSE1642,GSE1642,GEO,GPL1343
GSM28256.ch1-vs-GSM28256.ch2,MEDIUM.7H9:1_DMSO:50uL_STRAIN.H37Rv:1_TEMPERATURE:37°C_KCN:20ug/ml,test_GSE1642_KCN20,ref_GSE1642,GSE1642,GEO,GPL1343
GSM28258.ch1-vs-GSM28258.ch2,MEDIUM.7H9:1_DMSO:50uL_STRAIN.H37Rv:1_TEMPERATURE:37°C_THIORIDAZINE:10ug/ml,test_GSE1642_THIOR10,ref_GSE1642,GSE1642,GEO,GPL1343
GSM28264.ch1-vs-GSM28264.ch2,MEDIUM.MM:1_STRAIN.H37Rv:1_TEMPERATURE:37°C_PALMITATE:0.05mM,test_GSE1642_PALMITATE,ref_GSE1642_GLUCOSE,GSE1642,GEO,GPL1343
GSM28263.ch1-vs-GSM28263.ch2,MEDIUM.7H9:1_DMSO:50uL_STRAIN.H37Rv:1_TEMPERATURE:37°C_CCCP:50uM,test_GSE1642_CCCP50,ref_GSE1642,GSE1642,GEO,GPL1343
GSM28262.ch1-vs-GSM28262.ch2,MEDIUM.7H9:1_DMSO:50uL_STRAIN.H37Rv:1_TEMPERATURE:37°C_DCC:20uM,test_GSE1642_DCCD20,ref_GSE1642,GSE1642,GEO,GPL1343
GSM28261.ch1-vs-GSM28261.ch2,MEDIUM.7H9:1_DMSO:50uL_STRAIN.H37Rv:1_TEMPERATURE:37°C_DINITROPHENOL:0.5mM,test_GSE1642_DNP0.5,ref_GSE1642,GSE1642,GEO,GPL1343
GSM28259.ch1-vs-GSM28259.ch2,MEDIUM.7H9:1_DMSO:50uL_STRAIN.H37Rv:1_TEMPERATURE:37°C_NOVOBIOCIN:10ug/ml,test_GSE1642_NOVO10,ref_GSE1642,GSE1642,GEO,GPL1343
GSM28260.ch1-vs-GSM28260.ch2,MEDIUM.7H9:1_DMSO:50uL_STRAIN.H37Rv:1_TEMPERATURE:37°C_KCN:5ug/ml,test_GSE1642_KCN5,ref_GSE1642,GSE1642,GEO,GPL1343
GSM28266.ch1-vs-GSM28266.ch2,MEDIUM.7H9:1_DMSO:50uL_STRAIN.H37Rv:1_TEMPERATURE:37°C_CCCP:50uM,test_GSE1642_CCCP50,ref_GSE1642,GSE1642,GEO,GPL1343
GSM28265.ch1-vs-GSM28265.ch2,MEDIUM.MM:1_STRAIN.H37Rv:1_TEMPERATURE:37°C_SUCCINATE:10mM,test_GSE1642_SUCCINATE,ref_GSE1642_GLUCOSE,GSE1642,GEO,GPL1343
GSM28267.ch1-vs-GSM28267.ch2,MEDIUM.7H9:1_DMSO:50uL_STRAIN.H37Rv:1_TEMPERATURE:37°C_DCC:20uM,test_GSE1642_DCCD20,ref_GSE1642,GSE1642,GEO,GPL1343
GSM28268.ch1-vs-GSM28268.ch2,MEDIUM.7H9:1_DMSO:50uL_STRAIN.H37Rv:1_TEMPERATURE:37°C_KCN:5ug/ml,test_GSE1642_KCN5,ref_GSE1642,GSE1642,GEO,GPL1343
GSM28269.ch1-vs-GSM28269.ch2,MEDIUM.7H9:1_DMSO:50uL_STRAIN.H37Rv:1_TEMPERATURE:37°C_NOVOBIOCIN:10ug/ml,test_GSE1642_NOVO10,ref_GSE1642,GSE1642,GEO,GPL1343
GSM28270.ch1-vs-GSM28270.ch2,MEDIUM.7H9:1_DMSO:50uL_STRAIN.H37Rv:1_TEMPERATURE:37°C_THIORIDAZINE:10ug/ml,test_GSE1642_THIOR10,ref_GSE1642,GSE1642,GEO,GPL1343
GSM28271.ch1-vs-GSM28271.ch2,MEDIUM.MM:1_STRAIN.H37Rv:1_TEMPERATURE:37°C_OD650:0.3_SUCCINATE:10mM,test_GSE1642_SUCCINATE,ref_GSE1642_GLUCOSE,GSE1642,GEO,GPL1343
GSM28272.ch1-vs-GSM28272.ch2,MEDIUM.MM:1_STRAIN.H37Rv:1_TEMPERATURE:37°C_OD650:0.3_PALMITATE:0.05mM,test_GSE1642_PALMITATE,ref_GSE1642_GLUCOSE,GSE1642,GEO,GPL1343
GSM28276.ch1-vs-GSM28276.ch2,MEDIUM.MM:1_STRAIN.H37Rv:1_TEMPERATURE:37°C_OD650:0.3_SUCCINATE:10mM,test_GSE1642_SUCCINATE,ref_GSE1642_GLUCOSE,GSE1642,GEO,GPL1343
GSM28273.ch1-vs-GSM28273.ch2,MEDIUM.7H9:1_DMSO:50uL_STRAIN.H37Rv:1_TEMPERATURE:37°C_DINITROPHENOL:1mM,test_GSE1642_DNP1,ref_GSE1642,GSE1642,GEO,GPL1343
GSM28274.ch1-vs-GSM28274.ch2,MEDIUM.7H9:1_DMSO:50uL_STRAIN.H37Rv:1_TEMPERATURE:37°C_THIORIDAZINE:25ug/ml,test_GSE1642_THIORI25,ref_GSE1642,GSE1642,GEO,GPL1343
GSM28275.ch1-vs-GSM28275.ch2,MEDIUM.7H9:1_DMSO:50uL_STRAIN.H37Rv:1_TEMPERATURE:37°C_NOVOBIOCIN:10ug/ml,test_GSE1642_NOVO10,ref_GSE1642,GSE1642,GEO,GPL1343
GSM28277.ch1-vs-GSM28277.ch2,MEDIUM.MM:1_STRAIN.H37Rv:1_TEMPERATURE:37°C_OD650:0.3_PALMITATE:0.05mM,test_GSE1642_PALMITATE,ref_GSE1642_GLUCOSE,GSE1642,GEO,GPL1343
GSM28278.ch1-vs-GSM28278.ch2,MEDIUM.7H9:1_DMSO:50uL_STRAIN.H37Rv:1_TEMPERATURE:37°C_ARP4:1ug/ml,test_GSE1642_AN4-1,ref_GSE1642,GSE1642,GEO,GPL1343
GSM28279.ch1-vs-GSM28279.ch2,MEDIUM.7H9:1_DMSO:50uL_STRAIN.H37Rv:1_TEMPERATURE:37°C_ARP4:4ug/ml,test_GSE1642_AN4-4,ref_GSE1642,GSE1642,GEO,GPL1343
GSM28280.ch1-vs-GSM28280.ch2,MEDIUM.7H9:1_DMSO:50uL_STRAIN.H37Rv:1_TEMPERATURE:37°C_ARP2:1ug/ml,test_GSE1642_AN2-1,ref_GSE1642,GSE1642,GEO,GPL1343
GSM28281.ch1-vs-GSM28281.ch2,MEDIUM.7H9:1_DMSO:50uL_STRAIN.H37Rv:1_TEMPERATURE:37°C_ARP2:4ug/ml,test_GSE1642_AN2-4,ref_GSE1642,GSE1642,GEO,GPL1343
GSM28282.ch1-vs-GSM28282.ch2,MEDIUM.MM:1_STRAIN.H37Rv:1_TEMPERATURE:37°C_SUCCINATE:10mM,test_GSE1642_SUCCINATE,ref_GSE1642_GLUCOSE,GSE1642,GEO,GPL1343
GSM28284.ch1-vs-GSM28284.ch2,MEDIUM.7H9:1_DMSO:50uL_STRAIN.H37Rv:1_TEMPERATURE:37°C_METHOXATIN:10ug/ml,test_GSE1642_METHO10,ref_GSE1642,GSE1642,GEO,GPL1343
GSM28286.ch1-vs-GSM28286.ch2,MEDIUM.7H9:1_DMSO:50uL_STRAIN.H37Rv:1_TEMPERATURE:37°C_KCN:5ug/ml_GSNO:0.1mM,test_GSE1642_GSNO0.1_KCN5,ref_GSE1642,GSE1642,GEO,GPL1343
GSM28283.ch1-vs-GSM28283.ch2,MEDIUM.MM:1_STRAIN.H37Rv:1_TEMPERATURE:37°C_PALMITATE:0.05mM,test_GSE1642_PALMITATE,ref_GSE1642_GLUCOSE,GSE1642,GEO,GPL1343
GSM28288.ch1-vs-GSM28288.ch2,STRAIN.H37Rv:1_MEDIUM.DUBOS:1_TEMPERATURE:37°C_OD650:0.3_GROWTH.NRP1:+1_GROWTH.EXPONENTIAL:-1,test_GSE1642_NRP1,ref_GSE1642_LOG,GSE1642,GEO,GPL1343
GSM28285.ch1-vs-GSM28285.ch2,MEDIUM.7H9:1_DMSO:50uL_STRAIN.H37Rv:1_TEMPERATURE:37°C_KCN:5ug/ml_GSNO:0.1mM,test_GSE1642_GSNO0.1_KCN5,ref_GSE1642,GSE1642,GEO,GPL1343
GSM28287.ch1-vs-GSM28287.ch2,STRAIN.H37Rv:1_MEDIUM.DUBOS:1_TEMPERATURE:37°C_OD650:0.3_GROWTH.NRP1:+1_GROWTH.EXPONENTIAL:-1,test_GSE1642_NRP1,ref_GSE1642_LOG,GSE1642,GEO,GPL1343
GSM28289.ch1-vs-GSM28289.ch2,MEDIUM.7H9:1_DMSO:50uL_STRAIN.H37Rv:1_TEMPERATURE:37°C_METHOXATIN:20ug/ml,test_GSE1642_METHO20,ref_GSE1642,GSE1642,GEO,GPL1343
GSM28292.ch1-vs-GSM28292.ch2,MEDIUM.7H9:1_DMSO:50uL_STRAIN.H37Rv:1_TEMPERATURE:37°C_KCN:5ug/ml_GSNO:0.1mM,test_GSE1642_GSNO0.1_KCN5,ref_GSE1642,GSE1642,GEO,GPL1343
GSM28293.ch1-vs-GSM28293.ch2,STRAIN.H37Rv:1_MEDIUM.DUBOS:1_TEMPERATURE:37°C_GROWTH.NRP1:+1_GROWTH.EXPONENTIAL:-1,test_GSE1642_NRP1,ref_GSE1642_LOG,GSE1642,GEO,GPL1343
GSM28291.ch1-vs-GSM28291.ch2,MEDIUM.7H9:1_DMSO:50uL_STRAIN.H37Rv:1_TEMPERATURE:37°C_GSNO:0.1mM,test_GSE1642_GSNO0.1,ref_GSE1642,GSE1642,GEO,GPL1343
GSM28294.ch1-vs-GSM28294.ch2,MEDIUM.7H9:1_DMSO:50uL_STRAIN.H37Rv:1_TEMPERATURE:37°C_OD650:0.22_DTNB:1mM,test_GSE1642_DTNB1,ref_GSE1642,GSE1642,GEO,GPL1343
GSM28290.ch1-vs-GSM28290.ch2,MEDIUM.7H9:1_DMSO:50uL_STRAIN.H37Rv:1_TEMPERATURE:37°C_METHOXATIN:10ug/ml,test_GSE1642_METHO10,ref_GSE1642,GSE1642,GEO,GPL1343
GSM28300.ch1-vs-GSM28300.ch2,MEDIUM.7H9:1_DMSO:50uL_STRAIN.H37Rv:1_TEMPERATURE:37°C_OD650:0.25_DTT:2mM,test_GSE1642_DTT2,ref_GSE1642,GSE1642,GEO,GPL1343
GSM28296.ch1-vs-GSM28296.ch2,MEDIUM.7H9:1_DMSO:50uL_STRAIN.H37Rv:1_TEMPERATURE:37°C_OD650:0.22_VALINOMYCIN:1uM,test_GSE1642_VALINO1,ref_GSE1642,GSE1642,GEO,GPL1343
GSM28299.ch1-vs-GSM28299.ch2,MEDIUM.7H9:1_DMSO:50uL_STRAIN.H37Rv:1_TEMPERATURE:37°C_OD650:0.25_DTNB:2mM,test_GSE1642_DTNB2,ref_GSE1642,GSE1642,GEO,GPL1343
GSM28297.ch1-vs-GSM28297.ch2,MEDIUM.7H9:1_DMSO:50uL_STRAIN.H37Rv:1_TEMPERATURE:37°C_OD650:0.22_VALINOMYCIN:10uM,test_GSE1642_VALINO10,ref_GSE1642,GSE1642,GEO,GPL1343
GSM28295.ch1-vs-GSM28295.ch2,MEDIUM.7H9:1_DMSO:50uL_STRAIN.H37Rv:1_TEMPERATURE:37°C_OD650:0.22_DTT:2mM,test_GSE1642_DTT2,ref_GSE1642,GSE1642,GEO,GPL1343
GSM28298.ch1-vs-GSM28298.ch2,MEDIUM.7H9:1_DMSO:50uL_STRAIN.H37Rv:1_TEMPERATURE:37°C_OD650:0.25_MERCAPTOETHANOL:2mM,test_GSE1642_MERCAPTO2,ref_GSE1642,GSE1642,GEO,GPL1343
GSM28302.ch1-vs-GSM28302.ch2,MEDIUM.7H9:1_DMSO:50uL_STRAIN.H37Rv:1_TEMPERATURE:37°C_OD650:0.25_VALINOMYCIN:1uM,test_GSE1642_VALINO1,ref_GSE1642,GSE1642,GEO,GPL1343
GSM28306.ch1-vs-GSM28306.ch2,DMSO:50+70uL_STRAIN.H37Rv:1_TEMPERATURE:37°C_OD650:0.25_POLYSORBATE80:0.05%_MEDIUM.PBS:+1,test_GSE1642_PBS_TWEEN80-0.05_DMSO70,ref_GSE1642_7H9,GSE1642,GEO,GPL1343
GSM28304.ch1-vs-GSM28304.ch2,MEDIUM.7H9:1_DMSO:50uL_STRAIN.H37Rv:1_TEMPERATURE:37°C_OD650:0.25_VALINOMYCIN:1uM,test_GSE1642_VALINO1,ref_GSE1642,GSE1642,GEO,GPL1343
GSM28305.ch1-vs-GSM28305.ch2,MEDIUM.7H9:1_DMSO:50uL_STRAIN.H37Rv:1_TEMPERATURE:37°C_OD650:0.25_CHLORPROMAZINE:20ug/ml,test_GSE1642_CPZ20,ref_GSE1642,GSE1642,GEO,GPL1343
GSM28303.ch1-vs-GSM28303.ch2,MEDIUM.7H9:1_DMSO:50uL_STRAIN.H37Rv:1_TEMPERATURE:37°C_OD650:0.25_VERAPAMIL:50ug/ml,test_GSE1642_VERA50,ref_GSE1642,GSE1642,GEO,GPL1343
GSM28301.ch1-vs-GSM28301.ch2,MEDIUM.7H9:1_DMSO:50uL_STRAIN.H37Rv:1_TEMPERATURE:37°C_OD650:0.25_NIGERICIN:50uM,test_GSE1642_NIGER50,ref_GSE1642,GSE1642,GEO,GPL1343
GSM28307.ch1-vs-GSM28307.ch2,MEDIUM.7H9:1_DMSO:50uL_STRAIN.H37Rv:1_TEMPERATURE:37°C_OD650:0.25_MENADIONE:10ug/ml,test_GSE1642_MENA10,ref_GSE1642,GSE1642,GEO,GPL1343
GSM28310.ch1-vs-GSM28310.ch2,MEDIUM.7H9:1_DMSO:50uL_STRAIN.H37Rv:1_TEMPERATURE:37°C_OD650:0.25_CCCP:50uM,test_GSE1642_CCCP50,ref_GSE1642,GSE1642,GEO,GPL1343
GSM28308.ch1-vs-GSM28308.ch2,MEDIUM.7H9:1_DMSO:50uL_STRAIN.H37Rv:1_TEMPERATURE:37°C_OD650:0.25_CHLORPROMAZINE:20ug/ml_GSNO:0.1mM,test_GSE1642_GSNO0.1-CPZ20,ref_GSE1642,GSE1642,GEO,GPL1343
GSM28311.ch1-vs-GSM28311.ch2,MEDIUM.7H9:1_DMSO:50uL_STRAIN.H37Rv:1_TEMPERATURE:37°C_OD650:0.25_NIGERICIN:50uM,test_GSE1642_NIGER50,ref_GSE1642,GSE1642,GEO,GPL1343
GSM28309.ch1-vs-GSM28309.ch2,MEDIUM.7H9:1_DMSO:50uL_STRAIN.H37Rv:1_TEMPERATURE:37°C_OD650:0.25_GSNO:0.1mM_MENADIONE:10ug/ml,test_GSE1642_GSNO0.1_MENA10,ref_GSE1642,GSE1642,GEO,GPL1343
GSM28312.ch1-vs-GSM28312.ch2,MEDIUM.7H9:1_DMSO:50uL_STRAIN.H37Rv:1_TEMPERATURE:37°C_OD650:0.25_VALINOMYCIN:0.5uM,test_GSE1642_VALINO0.5,ref_GSE1642,GSE1642,GEO,GPL1343
GSM28316.ch1-vs-GSM28316.ch2,DMSO:50uL_STRAIN.H37Rv:1_MEDIUM.DUBOS:1_TEMPERATURE:37°C_OD650:0.25_CHLORPROMAZINE:20ug/ml,test_GSE1642_CPZ20,ref_GSE1642,GSE1642,GEO,GPL1343
GSM28314.ch1-vs-GSM28314.ch2,DMSO:50uL_STRAIN.H37Rv:1_MEDIUM.DUBOS:1_TEMPERATURE:37°C_OD650:0.25_CHLORPROMAZINE:20ug/ml_GSNO:0.1mM,test_GSE1642_GSNO0.1_CPZ20,ref_GSE1642,GSE1642,GEO,GPL1343
GSM28315.ch1-vs-GSM28315.ch2,DMSO:50uL_STRAIN.H37Rv:1_MEDIUM.DUBOS:1_TEMPERATURE:37°C_OD650:0.25_GSNO:0.1mM_MENADIONE:10ug/ml,test_GSE1642_GSNO0.1_MENA10,ref_GSE1642,GSE1642,GEO,GPL1343
GSM28313.ch1-vs-GSM28313.ch2,MEDIUM.7H9:1_DMSO:50uL_STRAIN.H37Rv:1_TEMPERATURE:37°C_OD650:0.25_VALINOMYCIN:0.5uM_KCl:70mM,test_GSE1642_VALINO0.5_KCL70,ref_GSE1642,GSE1642,GEO,GPL1343
GSM28318.ch1-vs-GSM28318.ch2,STRAIN.H37Rv:1_MEDIUM.DUBOS:1_TEMPERATURE:37°C_OD650:0.3_GROWTH.NRP1:+1_OXYGEN:-1,test_GSE1642_NRP1,ref_GSE1642_AERO,GSE1642,GEO,GPL1343
GSM28317.ch1-vs-GSM28317.ch2,DMSO:50uL_STRAIN.H37Rv:1_MEDIUM.DUBOS:1_TEMPERATURE:37°C_OD650:0.25_MENADIONE:10ug/ml,test_GSE1642_MENA10,ref_GSE1642,GSE1642,GEO,GPL1343
GSM28319.ch1-vs-GSM28319.ch2,STRAIN.H37Rv:1_MEDIUM.DUBOS:1_TEMPERATURE:37°C_OD650:0.3_GROWTH.NRP1:+1_OXYGEN:-1_NITRATE:20mM,test_GSE1642_NRP1_NITRATE20,ref_GSE1642_AERO,GSE1642,GEO,GPL1343
GSM28323.ch1-vs-GSM28323.ch2,MEDIUM.7H9:1_DMSO:50uL_STRAIN.H37Rv:1_TEMPERATURE:37°C_OD650:0.25_CLOFAZIMINE:5ug/ml,test_GSE1642_GSNO0.1_CLOFA5,ref_GSE1642,GSE1642,GEO,GPL1343
GSM28322.ch1-vs-GSM28322.ch2,MEDIUM.7H9:1_DMSO:50uL_STRAIN.H37Rv:1_TEMPERATURE:37°C_OD650:0.25_CHLORPROMAZINE:25ug/ml_GSNO:0.1mM,test_GSE1642_GSNO0.1_CPZ25,ref_GSE1642,GSE1642,GEO,GPL1343
GSM28321.ch1-vs-GSM28321.ch2,MEDIUM.7H9:1_DMSO:50uL_STRAIN.H37Rv:1_TEMPERATURE:37°C_OD650:0.25_GSNO:0.02mM,test_GSE1642_GSNO0.02,ref_GSE1642,GSE1642,GEO,GPL1343
GSM28320.ch1-vs-GSM28320.ch2,MEDIUM.7H9:1_DMSO:50uL_STRAIN.H37Rv:1_TEMPERATURE:37°C_OD650:0.25_CHLORPROMAZINE:25ug/ml,test_GSE1642_CPZ25,ref_GSE1642,GSE1642,GEO,GPL1343
