ContrastName	TestAnnotation
GSM28225.ch1-vs-GSM28225.ch2	TEMPERATURE:37°C
GSM28225.ch1-vs-GSM28225.ch2	TRICLOSAN:50ug/ml
GSM28229.ch1-vs-GSM28229.ch2	MEDIUM.7H9:1
GSM28229.ch1-vs-GSM28229.ch2	ETHANOL:0.2vol%
GSM28229.ch1-vs-GSM28229.ch2	STRAIN.H37Rv:1
GSM28229.ch1-vs-GSM28229.ch2	TEMPERATURE:37°C
GSM28229.ch1-vs-GSM28229.ch2	TRICLOSAN:50ug/ml
GSM28232.ch1-vs-GSM28232.ch2	MEDIUM.7H9:1
GSM28232.ch1-vs-GSM28232.ch2	DMSO:50uL
GSM28232.ch1-vs-GSM28232.ch2	STRAIN.H37Rv:1
GSM28232.ch1-vs-GSM28232.ch2	TEMPERATURE:37°C
GSM28232.ch1-vs-GSM28232.ch2	ETHAMBUTOL:10ug/ml
GSM28230.ch1-vs-GSM28230.ch2	MEDIUM.7H9:1
GSM28230.ch1-vs-GSM28230.ch2	DMSO:50uL
GSM28230.ch1-vs-GSM28230.ch2	STRAIN.H37Rv:1
GSM28230.ch1-vs-GSM28230.ch2	TEMPERATURE:37°C
GSM28230.ch1-vs-GSM28230.ch2	DIAMINE#109:10ug/ml
GSM28227.ch1-vs-GSM28227.ch2	MEDIUM.7H9:1
GSM28227.ch1-vs-GSM28227.ch2	DMSO:50uL
GSM28227.ch1-vs-GSM28227.ch2	STRAIN.H37Rv:1
GSM28227.ch1-vs-GSM28227.ch2	TEMPERATURE:37°C
GSM28227.ch1-vs-GSM28227.ch2	PROCEPT6778:20ug/ml
GSM28231.ch1-vs-GSM28231.ch2	MEDIUM.7H9:1
GSM28231.ch1-vs-GSM28231.ch2	DMSO:50uL
GSM28231.ch1-vs-GSM28231.ch2	STRAIN.H37Rv:1
GSM28231.ch1-vs-GSM28231.ch2	TEMPERATURE:37°C
GSM28231.ch1-vs-GSM28231.ch2	DIAMINE#59:10ug/ml
GSM28228.ch1-vs-GSM28228.ch2	MEDIUM.7H9:1
GSM28228.ch1-vs-GSM28228.ch2	STRAIN.H37Rv:1
GSM28228.ch1-vs-GSM28228.ch2	TEMPERATURE:37°C
GSM28228.ch1-vs-GSM28228.ch2	CEPHALEXIN:100ug/ml
GSM28238.ch1-vs-GSM28238.ch2	DMSO:50uL
GSM28238.ch1-vs-GSM28238.ch2	STRAIN.H37Rv:1
GSM28238.ch1-vs-GSM28238.ch2	TEMPERATURE:37°C
GSM28238.ch1-vs-GSM28238.ch2	SUCCINATE:10mM
GSM28238.ch1-vs-GSM28238.ch2	MEDIUM.MM:+1
GSM28233.ch1-vs-GSM28233.ch2	MEDIUM.7H9:1
GSM28233.ch1-vs-GSM28233.ch2	DMSO:50uL
GSM28233.ch1-vs-GSM28233.ch2	STRAIN.H37Rv:1
GSM28233.ch1-vs-GSM28233.ch2	TEMPERATURE:37°C
GSM28233.ch1-vs-GSM28233.ch2	DIAMINE#241:10ug/ml
GSM28234.ch1-vs-GSM28234.ch2	MEDIUM.7H9:1
GSM28234.ch1-vs-GSM28234.ch2	DMSO:50uL
GSM28234.ch1-vs-GSM28234.ch2	STRAIN.H37Rv:1
GSM28234.ch1-vs-GSM28234.ch2	TEMPERATURE:37°C
GSM28234.ch1-vs-GSM28234.ch2	ECONAZOLE:24ug/ml
GSM28235.ch1-vs-GSM28235.ch2	MEDIUM.7H9:1
GSM28235.ch1-vs-GSM28235.ch2	DMSO:50uL
GSM28235.ch1-vs-GSM28235.ch2	STRAIN.H37Rv:1
GSM28235.ch1-vs-GSM28235.ch2	TEMPERATURE:37°C
GSM28235.ch1-vs-GSM28235.ch2	ECONAZOLE:24ug/ml
GSM28237.ch1-vs-GSM28237.ch2	DMSO:50uL
GSM28237.ch1-vs-GSM28237.ch2	STRAIN.H37Rv:1
GSM28237.ch1-vs-GSM28237.ch2	TEMPERATURE:37°C
GSM28237.ch1-vs-GSM28237.ch2	SUCCINATE:10mM
GSM28237.ch1-vs-GSM28237.ch2	MEDIUM.MM:+1
GSM28236.ch1-vs-GSM28236.ch2	MEDIUM.7H9:1
GSM28236.ch1-vs-GSM28236.ch2	DMSO:50uL
GSM28236.ch1-vs-GSM28236.ch2	STRAIN.H37Rv:1
GSM28236.ch1-vs-GSM28236.ch2	TEMPERATURE:37°C
GSM28236.ch1-vs-GSM28236.ch2	PROCEPT6778:20ug/ml
GSM28242.ch1-vs-GSM28242.ch2	MEDIUM.7H9:1
GSM28242.ch1-vs-GSM28242.ch2	DMSO:50uL
GSM28242.ch1-vs-GSM28242.ch2	STRAIN.H37Rv:1
GSM28242.ch1-vs-GSM28242.ch2	TEMPERATURE:37°C
GSM28242.ch1-vs-GSM28242.ch2	CLOTRIMAZOLE:24ug/ml
GSM28239.ch1-vs-GSM28239.ch2	MEDIUM.7H9:1
GSM28239.ch1-vs-GSM28239.ch2	DMSO:50uL
GSM28239.ch1-vs-GSM28239.ch2	STRAIN.H37Rv:1
GSM28239.ch1-vs-GSM28239.ch2	TEMPERATURE:37°C
GSM28239.ch1-vs-GSM28239.ch2	CLOFAZIMINE:13ug/ml
GSM28241.ch1-vs-GSM28241.ch2	MEDIUM.7H9:1
GSM28241.ch1-vs-GSM28241.ch2	DMSO:50uL
GSM28241.ch1-vs-GSM28241.ch2	STRAIN.H37Rv:1
GSM28241.ch1-vs-GSM28241.ch2	TEMPERATURE:37°C
GSM28241.ch1-vs-GSM28241.ch2	CLOTRIMAZOLE:24ug/ml
GSM28240.ch1-vs-GSM28240.ch2	MEDIUM.7H9:1
GSM28240.ch1-vs-GSM28240.ch2	DMSO:50uL
GSM28240.ch1-vs-GSM28240.ch2	STRAIN.H37Rv:1
GSM28240.ch1-vs-GSM28240.ch2	TEMPERATURE:37°C
GSM28240.ch1-vs-GSM28240.ch2	CLOFAZIMINE:13ug/ml
GSM28245.ch1-vs-GSM28245.ch2	MEDIUM.7H9:1
GSM28245.ch1-vs-GSM28245.ch2	DMSO:50uL
GSM28245.ch1-vs-GSM28245.ch2	STRAIN.H37Rv:1
GSM28245.ch1-vs-GSM28245.ch2	TEMPERATURE:37°C
GSM28245.ch1-vs-GSM28245.ch2	PA824:0.4ug/ml
GSM28243.ch1-vs-GSM28243.ch2	MEDIUM.7H9:1
GSM28243.ch1-vs-GSM28243.ch2	DMSO:50uL
GSM28243.ch1-vs-GSM28243.ch2	STRAIN.H37Rv:1
GSM28243.ch1-vs-GSM28243.ch2	TEMPERATURE:37°C
GSM28243.ch1-vs-GSM28243.ch2	CHLORPROMAZINE:20ug/ml
GSM28247.ch1-vs-GSM28247.ch2	MEDIUM.7H9:1
GSM28247.ch1-vs-GSM28247.ch2	DMSO:50uL
GSM28247.ch1-vs-GSM28247.ch2	STRAIN.H37Rv:1
GSM28247.ch1-vs-GSM28247.ch2	TEMPERATURE:37°C
GSM28247.ch1-vs-GSM28247.ch2	PA824:2ug/ml
GSM28249.ch1-vs-GSM28249.ch2	MEDIUM.7H9:1
GSM28249.ch1-vs-GSM28249.ch2	DMSO:50uL
GSM28249.ch1-vs-GSM28249.ch2	STRAIN.H37Rv:1
GSM28249.ch1-vs-GSM28249.ch2	TEMPERATURE:37°C
GSM28249.ch1-vs-GSM28249.ch2	PA824:0.4ug/ml
GSM28250.ch1-vs-GSM28250.ch2	MEDIUM.7H9:1
GSM28250.ch1-vs-GSM28250.ch2	DMSO:50uL
GSM28250.ch1-vs-GSM28250.ch2	STRAIN.H37Rv:1
GSM28250.ch1-vs-GSM28250.ch2	TEMPERATURE:37°C
GSM28250.ch1-vs-GSM28250.ch2	PA824:0.2ug/ml
GSM28252.ch1-vs-GSM28252.ch2	MEDIUM.7H9:1
GSM28252.ch1-vs-GSM28252.ch2	DMSO:50uL
GSM28252.ch1-vs-GSM28252.ch2	STRAIN.H37Rv:1
GSM28252.ch1-vs-GSM28252.ch2	TEMPERATURE:37°C
GSM28252.ch1-vs-GSM28252.ch2	CCCP:10uM
GSM28248.ch1-vs-GSM28248.ch2	MEDIUM.7H9:1
GSM28248.ch1-vs-GSM28248.ch2	DMSO:50uL
GSM28248.ch1-vs-GSM28248.ch2	STRAIN.H37Rv:1
GSM28248.ch1-vs-GSM28248.ch2	TEMPERATURE:37°C
GSM28248.ch1-vs-GSM28248.ch2	PA824:0.2ug/ml
GSM28251.ch1-vs-GSM28251.ch2	MEDIUM.7H9:1
GSM28251.ch1-vs-GSM28251.ch2	DMSO:50uL
GSM28251.ch1-vs-GSM28251.ch2	STRAIN.H37Rv:1
GSM28251.ch1-vs-GSM28251.ch2	TEMPERATURE:37°C
GSM28251.ch1-vs-GSM28251.ch2	PA824:0.4ug/ml
GSM28253.ch1-vs-GSM28253.ch2	MEDIUM.7H9:1
GSM28253.ch1-vs-GSM28253.ch2	DMSO:50uL
GSM28253.ch1-vs-GSM28253.ch2	STRAIN.H37Rv:1
GSM28253.ch1-vs-GSM28253.ch2	TEMPERATURE:37°C
GSM28253.ch1-vs-GSM28253.ch2	CEPHALEXIN:100ug/ml
GSM28257.ch1-vs-GSM28257.ch2	MEDIUM.7H9:1
GSM28257.ch1-vs-GSM28257.ch2	DMSO:50uL
GSM28257.ch1-vs-GSM28257.ch2	STRAIN.H37Rv:1
GSM28257.ch1-vs-GSM28257.ch2	TEMPERATURE:37°C
GSM28257.ch1-vs-GSM28257.ch2	CEPHALEXIN:100ug/ml
GSM28255.ch1-vs-GSM28255.ch2	MEDIUM.7H9:1
GSM28255.ch1-vs-GSM28255.ch2	DMSO:50uL
GSM28255.ch1-vs-GSM28255.ch2	STRAIN.H37Rv:1
GSM28255.ch1-vs-GSM28255.ch2	TEMPERATURE:37°C
GSM28255.ch1-vs-GSM28255.ch2	DINITROPHENOL:1mM
GSM28254.ch1-vs-GSM28254.ch2	MEDIUM.7H9:1
GSM28254.ch1-vs-GSM28254.ch2	DMSO:50uL
GSM28254.ch1-vs-GSM28254.ch2	STRAIN.H37Rv:1
GSM28254.ch1-vs-GSM28254.ch2	TEMPERATURE:37°C
GSM28254.ch1-vs-GSM28254.ch2	DCC:100uM
GSM28256.ch1-vs-GSM28256.ch2	MEDIUM.7H9:1
GSM28256.ch1-vs-GSM28256.ch2	DMSO:50uL
GSM28256.ch1-vs-GSM28256.ch2	STRAIN.H37Rv:1
GSM28256.ch1-vs-GSM28256.ch2	TEMPERATURE:37°C
GSM28256.ch1-vs-GSM28256.ch2	KCN:20ug/ml
GSM28258.ch1-vs-GSM28258.ch2	MEDIUM.7H9:1
GSM28258.ch1-vs-GSM28258.ch2	DMSO:50uL
GSM28258.ch1-vs-GSM28258.ch2	STRAIN.H37Rv:1
GSM28258.ch1-vs-GSM28258.ch2	TEMPERATURE:37°C
GSM28258.ch1-vs-GSM28258.ch2	THIORIDAZINE:10ug/ml
GSM28264.ch1-vs-GSM28264.ch2	MEDIUM.MM:1
GSM28264.ch1-vs-GSM28264.ch2	STRAIN.H37Rv:1
GSM28264.ch1-vs-GSM28264.ch2	TEMPERATURE:37°C
GSM28264.ch1-vs-GSM28264.ch2	PALMITATE:0.05mM
GSM28263.ch1-vs-GSM28263.ch2	MEDIUM.7H9:1
GSM28263.ch1-vs-GSM28263.ch2	DMSO:50uL
GSM28263.ch1-vs-GSM28263.ch2	STRAIN.H37Rv:1
GSM28263.ch1-vs-GSM28263.ch2	TEMPERATURE:37°C
GSM28263.ch1-vs-GSM28263.ch2	CCCP:50uM
GSM28262.ch1-vs-GSM28262.ch2	MEDIUM.7H9:1
GSM28262.ch1-vs-GSM28262.ch2	DMSO:50uL
GSM28262.ch1-vs-GSM28262.ch2	STRAIN.H37Rv:1
GSM28262.ch1-vs-GSM28262.ch2	TEMPERATURE:37°C
GSM28262.ch1-vs-GSM28262.ch2	DCC:20uM
GSM28261.ch1-vs-GSM28261.ch2	MEDIUM.7H9:1
GSM28261.ch1-vs-GSM28261.ch2	DMSO:50uL
GSM28261.ch1-vs-GSM28261.ch2	STRAIN.H37Rv:1
GSM28261.ch1-vs-GSM28261.ch2	TEMPERATURE:37°C
GSM28261.ch1-vs-GSM28261.ch2	DINITROPHENOL:0.5mM
GSM28259.ch1-vs-GSM28259.ch2	MEDIUM.7H9:1
GSM28259.ch1-vs-GSM28259.ch2	DMSO:50uL
GSM28259.ch1-vs-GSM28259.ch2	STRAIN.H37Rv:1
GSM28259.ch1-vs-GSM28259.ch2	TEMPERATURE:37°C
GSM28259.ch1-vs-GSM28259.ch2	NOVOBIOCIN:10ug/ml
GSM28260.ch1-vs-GSM28260.ch2	MEDIUM.7H9:1
GSM28260.ch1-vs-GSM28260.ch2	DMSO:50uL
GSM28260.ch1-vs-GSM28260.ch2	STRAIN.H37Rv:1
GSM28260.ch1-vs-GSM28260.ch2	TEMPERATURE:37°C
GSM28260.ch1-vs-GSM28260.ch2	KCN:5ug/ml
GSM28266.ch1-vs-GSM28266.ch2	MEDIUM.7H9:1
GSM28266.ch1-vs-GSM28266.ch2	DMSO:50uL
GSM28266.ch1-vs-GSM28266.ch2	STRAIN.H37Rv:1
GSM28266.ch1-vs-GSM28266.ch2	TEMPERATURE:37°C
GSM28266.ch1-vs-GSM28266.ch2	CCCP:50uM
GSM28265.ch1-vs-GSM28265.ch2	MEDIUM.MM:1
GSM28265.ch1-vs-GSM28265.ch2	STRAIN.H37Rv:1
GSM28265.ch1-vs-GSM28265.ch2	TEMPERATURE:37°C
GSM28265.ch1-vs-GSM28265.ch2	SUCCINATE:10mM
GSM28267.ch1-vs-GSM28267.ch2	MEDIUM.7H9:1
GSM28267.ch1-vs-GSM28267.ch2	DMSO:50uL
GSM28267.ch1-vs-GSM28267.ch2	STRAIN.H37Rv:1
GSM28267.ch1-vs-GSM28267.ch2	TEMPERATURE:37°C
GSM28267.ch1-vs-GSM28267.ch2	DCC:20uM
GSM28268.ch1-vs-GSM28268.ch2	MEDIUM.7H9:1
GSM28268.ch1-vs-GSM28268.ch2	DMSO:50uL
GSM28268.ch1-vs-GSM28268.ch2	STRAIN.H37Rv:1
GSM28268.ch1-vs-GSM28268.ch2	TEMPERATURE:37°C
GSM28268.ch1-vs-GSM28268.ch2	KCN:5ug/ml
GSM28269.ch1-vs-GSM28269.ch2	MEDIUM.7H9:1
GSM28269.ch1-vs-GSM28269.ch2	DMSO:50uL
GSM28269.ch1-vs-GSM28269.ch2	STRAIN.H37Rv:1
GSM28269.ch1-vs-GSM28269.ch2	TEMPERATURE:37°C
GSM28269.ch1-vs-GSM28269.ch2	NOVOBIOCIN:10ug/ml
GSM28270.ch1-vs-GSM28270.ch2	MEDIUM.7H9:1
GSM28270.ch1-vs-GSM28270.ch2	DMSO:50uL
GSM28270.ch1-vs-GSM28270.ch2	STRAIN.H37Rv:1
GSM28270.ch1-vs-GSM28270.ch2	TEMPERATURE:37°C
GSM28270.ch1-vs-GSM28270.ch2	THIORIDAZINE:10ug/ml
GSM28271.ch1-vs-GSM28271.ch2	MEDIUM.MM:1
GSM28271.ch1-vs-GSM28271.ch2	STRAIN.H37Rv:1
GSM28271.ch1-vs-GSM28271.ch2	TEMPERATURE:37°C
GSM28271.ch1-vs-GSM28271.ch2	OD650:0.3
GSM28271.ch1-vs-GSM28271.ch2	SUCCINATE:10mM
GSM28272.ch1-vs-GSM28272.ch2	MEDIUM.MM:1
GSM28272.ch1-vs-GSM28272.ch2	STRAIN.H37Rv:1
GSM28272.ch1-vs-GSM28272.ch2	TEMPERATURE:37°C
GSM28272.ch1-vs-GSM28272.ch2	OD650:0.3
GSM28272.ch1-vs-GSM28272.ch2	PALMITATE:0.05mM
GSM28276.ch1-vs-GSM28276.ch2	MEDIUM.MM:1
GSM28276.ch1-vs-GSM28276.ch2	STRAIN.H37Rv:1
GSM28276.ch1-vs-GSM28276.ch2	TEMPERATURE:37°C
GSM28276.ch1-vs-GSM28276.ch2	OD650:0.3
GSM28276.ch1-vs-GSM28276.ch2	SUCCINATE:10mM
GSM28273.ch1-vs-GSM28273.ch2	MEDIUM.7H9:1
GSM28273.ch1-vs-GSM28273.ch2	DMSO:50uL
GSM28273.ch1-vs-GSM28273.ch2	STRAIN.H37Rv:1
GSM28273.ch1-vs-GSM28273.ch2	TEMPERATURE:37°C
GSM28273.ch1-vs-GSM28273.ch2	DINITROPHENOL:1mM
GSM28274.ch1-vs-GSM28274.ch2	MEDIUM.7H9:1
GSM28274.ch1-vs-GSM28274.ch2	DMSO:50uL
GSM28274.ch1-vs-GSM28274.ch2	STRAIN.H37Rv:1
GSM28274.ch1-vs-GSM28274.ch2	TEMPERATURE:37°C
GSM28274.ch1-vs-GSM28274.ch2	THIORIDAZINE:25ug/ml
GSM28275.ch1-vs-GSM28275.ch2	MEDIUM.7H9:1
GSM28275.ch1-vs-GSM28275.ch2	DMSO:50uL
GSM28275.ch1-vs-GSM28275.ch2	STRAIN.H37Rv:1
GSM28275.ch1-vs-GSM28275.ch2	TEMPERATURE:37°C
GSM28275.ch1-vs-GSM28275.ch2	NOVOBIOCIN:10ug/ml
GSM28277.ch1-vs-GSM28277.ch2	MEDIUM.MM:1
GSM28277.ch1-vs-GSM28277.ch2	STRAIN.H37Rv:1
GSM28277.ch1-vs-GSM28277.ch2	TEMPERATURE:37°C
GSM28277.ch1-vs-GSM28277.ch2	OD650:0.3
GSM28277.ch1-vs-GSM28277.ch2	PALMITATE:0.05mM
GSM28278.ch1-vs-GSM28278.ch2	MEDIUM.7H9:1
GSM28278.ch1-vs-GSM28278.ch2	DMSO:50uL
GSM28278.ch1-vs-GSM28278.ch2	STRAIN.H37Rv:1
GSM28278.ch1-vs-GSM28278.ch2	TEMPERATURE:37°C
GSM28278.ch1-vs-GSM28278.ch2	ARP4:1ug/ml
GSM28279.ch1-vs-GSM28279.ch2	MEDIUM.7H9:1
GSM28279.ch1-vs-GSM28279.ch2	DMSO:50uL
GSM28279.ch1-vs-GSM28279.ch2	STRAIN.H37Rv:1
GSM28279.ch1-vs-GSM28279.ch2	TEMPERATURE:37°C
GSM28279.ch1-vs-GSM28279.ch2	ARP4:4ug/ml
GSM28280.ch1-vs-GSM28280.ch2	MEDIUM.7H9:1
GSM28280.ch1-vs-GSM28280.ch2	DMSO:50uL
GSM28280.ch1-vs-GSM28280.ch2	STRAIN.H37Rv:1
GSM28280.ch1-vs-GSM28280.ch2	TEMPERATURE:37°C
GSM28280.ch1-vs-GSM28280.ch2	ARP2:1ug/ml
GSM28281.ch1-vs-GSM28281.ch2	MEDIUM.7H9:1
GSM28281.ch1-vs-GSM28281.ch2	DMSO:50uL
GSM28281.ch1-vs-GSM28281.ch2	STRAIN.H37Rv:1
GSM28281.ch1-vs-GSM28281.ch2	TEMPERATURE:37°C
GSM28281.ch1-vs-GSM28281.ch2	ARP2:4ug/ml
GSM28282.ch1-vs-GSM28282.ch2	MEDIUM.MM:1
GSM28282.ch1-vs-GSM28282.ch2	STRAIN.H37Rv:1
GSM28282.ch1-vs-GSM28282.ch2	TEMPERATURE:37°C
GSM28282.ch1-vs-GSM28282.ch2	SUCCINATE:10mM
GSM28284.ch1-vs-GSM28284.ch2	MEDIUM.7H9:1
GSM28284.ch1-vs-GSM28284.ch2	DMSO:50uL
GSM28284.ch1-vs-GSM28284.ch2	STRAIN.H37Rv:1
GSM28284.ch1-vs-GSM28284.ch2	TEMPERATURE:37°C
GSM28284.ch1-vs-GSM28284.ch2	METHOXATIN:10ug/ml
GSM28286.ch1-vs-GSM28286.ch2	MEDIUM.7H9:1
GSM28286.ch1-vs-GSM28286.ch2	DMSO:50uL
GSM28286.ch1-vs-GSM28286.ch2	STRAIN.H37Rv:1
GSM28286.ch1-vs-GSM28286.ch2	TEMPERATURE:37°C
GSM28286.ch1-vs-GSM28286.ch2	KCN:5ug/ml
GSM28286.ch1-vs-GSM28286.ch2	GSNO:0.1mM
GSM28283.ch1-vs-GSM28283.ch2	MEDIUM.MM:1
GSM28283.ch1-vs-GSM28283.ch2	STRAIN.H37Rv:1
GSM28283.ch1-vs-GSM28283.ch2	TEMPERATURE:37°C
GSM28283.ch1-vs-GSM28283.ch2	PALMITATE:0.05mM
GSM28288.ch1-vs-GSM28288.ch2	STRAIN.H37Rv:1
GSM28288.ch1-vs-GSM28288.ch2	MEDIUM.DUBOS:1
GSM28288.ch1-vs-GSM28288.ch2	TEMPERATURE:37°C
GSM28288.ch1-vs-GSM28288.ch2	OD650:0.3
GSM28288.ch1-vs-GSM28288.ch2	GROWTH.NRP1:+1
GSM28288.ch1-vs-GSM28288.ch2	GROWTH.EXPONENTIAL:-1
GSM28285.ch1-vs-GSM28285.ch2	MEDIUM.7H9:1
GSM28285.ch1-vs-GSM28285.ch2	DMSO:50uL
GSM28285.ch1-vs-GSM28285.ch2	STRAIN.H37Rv:1
GSM28285.ch1-vs-GSM28285.ch2	TEMPERATURE:37°C
GSM28285.ch1-vs-GSM28285.ch2	KCN:5ug/ml
GSM28285.ch1-vs-GSM28285.ch2	GSNO:0.1mM
GSM28287.ch1-vs-GSM28287.ch2	STRAIN.H37Rv:1
GSM28287.ch1-vs-GSM28287.ch2	MEDIUM.DUBOS:1
GSM28287.ch1-vs-GSM28287.ch2	TEMPERATURE:37°C
GSM28287.ch1-vs-GSM28287.ch2	OD650:0.3
GSM28287.ch1-vs-GSM28287.ch2	GROWTH.NRP1:+1
GSM28287.ch1-vs-GSM28287.ch2	GROWTH.EXPONENTIAL:-1
GSM28289.ch1-vs-GSM28289.ch2	MEDIUM.7H9:1
GSM28289.ch1-vs-GSM28289.ch2	DMSO:50uL
GSM28289.ch1-vs-GSM28289.ch2	STRAIN.H37Rv:1
GSM28289.ch1-vs-GSM28289.ch2	TEMPERATURE:37°C
GSM28289.ch1-vs-GSM28289.ch2	METHOXATIN:20ug/ml
GSM28292.ch1-vs-GSM28292.ch2	MEDIUM.7H9:1
GSM28292.ch1-vs-GSM28292.ch2	DMSO:50uL
GSM28292.ch1-vs-GSM28292.ch2	STRAIN.H37Rv:1
GSM28292.ch1-vs-GSM28292.ch2	TEMPERATURE:37°C
GSM28292.ch1-vs-GSM28292.ch2	KCN:5ug/ml
GSM28292.ch1-vs-GSM28292.ch2	GSNO:0.1mM
GSM28293.ch1-vs-GSM28293.ch2	STRAIN.H37Rv:1
GSM28293.ch1-vs-GSM28293.ch2	MEDIUM.DUBOS:1
GSM28293.ch1-vs-GSM28293.ch2	TEMPERATURE:37°C
GSM28293.ch1-vs-GSM28293.ch2	GROWTH.NRP1:+1
GSM28293.ch1-vs-GSM28293.ch2	GROWTH.EXPONENTIAL:-1
GSM28291.ch1-vs-GSM28291.ch2	MEDIUM.7H9:1
GSM28291.ch1-vs-GSM28291.ch2	DMSO:50uL
GSM28291.ch1-vs-GSM28291.ch2	STRAIN.H37Rv:1
GSM28291.ch1-vs-GSM28291.ch2	TEMPERATURE:37°C
GSM28291.ch1-vs-GSM28291.ch2	GSNO:0.1mM
GSM28294.ch1-vs-GSM28294.ch2	MEDIUM.7H9:1
GSM28294.ch1-vs-GSM28294.ch2	DMSO:50uL
GSM28294.ch1-vs-GSM28294.ch2	STRAIN.H37Rv:1
GSM28294.ch1-vs-GSM28294.ch2	TEMPERATURE:37°C
GSM28294.ch1-vs-GSM28294.ch2	OD650:0.22
GSM28294.ch1-vs-GSM28294.ch2	DTNB:1mM
GSM28290.ch1-vs-GSM28290.ch2	MEDIUM.7H9:1
GSM28290.ch1-vs-GSM28290.ch2	DMSO:50uL
GSM28290.ch1-vs-GSM28290.ch2	STRAIN.H37Rv:1
GSM28290.ch1-vs-GSM28290.ch2	TEMPERATURE:37°C
GSM28290.ch1-vs-GSM28290.ch2	METHOXATIN:10ug/ml
